"section","kind","status","id","name","net_pln","gross_pln","notes"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC03K3E5","KIT-WC03K3E5","12200.00","13176.00","seria K, split, 3 kW, 1-fazowa, klucz ceny split_net, para AIO: KIT-ADC03K3E5"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC05K3E5","KIT-WC05K3E5","12700.00","13716.00","seria K, split, 5 kW, 1-fazowa, klucz ceny split_net, para AIO: KIT-ADC05K3E5"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC07K3E5","KIT-WC07K3E5","13500.00","14580.00","seria K, split, 7 kW, 1-fazowa, klucz ceny split_net, para AIO: KIT-ADC07K3E5"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC09K3E5","KIT-WC09K3E5","14700.00","15876.00","seria K, split, 9 kW, 1-fazowa, klucz ceny split_net, para AIO: KIT-ADC09K3E5"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC09K3E8","KIT-WC09K3E8","15500.00","16740.00","seria K, split, 9 kW, 3-fazowa, klucz ceny split400_net, para AIO: KIT-ADC09K9E8"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC12K9E8","KIT-WC12K9E8","17650.00","19062.00","seria K, split, 12 kW, 3-fazowa, klucz ceny split400_net, para AIO: KIT-ADC12K9E8"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-WC16K9E8","KIT-WC16K9E8","21000.00","22680.00","seria K, split, 16 kW, 3-fazowa, klucz ceny split400_net, para AIO: KIT-ADC16K9E8"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC03K3E5","KIT-ADC03K3E5","17500.00","18900.00","seria K, all-in-one, 3 kW, 1-fazowa, klucz ceny aio_premium_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC05K3E5","KIT-ADC05K3E5","18000.00","19440.00","seria K, all-in-one, 5 kW, 1-fazowa, klucz ceny aio_premium_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC07K3E5","KIT-ADC07K3E5","18900.00","20412.00","seria K, all-in-one, 7 kW, 1-fazowa, klucz ceny aio_premium_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC09K3E5","KIT-ADC09K3E5","20000.00","21600.00","seria K, all-in-one, 9 kW, 1-fazowa, klucz ceny aio_premium_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC09K9E8","KIT-ADC09K9E8","22800.00","24624.00","seria K, all-in-one, 9 kW, 3-fazowa, klucz ceny aio_premium400_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC12K9E8","KIT-ADC12K9E8","24100.00","26028.00","seria K, all-in-one, 12 kW, 3-fazowa, klucz ceny aio_premium400_net"
"Pompy ciepła","Pompa ciepła","dobór systemu + wybór klienta","KIT-ADC16K9E8","KIT-ADC16K9E8","25750.00","27810.00","seria K, all-in-one, 16 kW, 3-fazowa, klucz ceny aio_premium400_net"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-150","Galmet SG(S) 150 l","2250.00","2430.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-200","Galmet SG(S) 200 l","2750.00","2970.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-250","Galmet SG(S) 250 l","2900.00","3132.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-300","Galmet SG(S) 300 l","3000.00","3240.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-400","Galmet SG(S) 400 l","3600.00","3888.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-emalia-500","Galmet SG(S) 500 l","4200.00","4536.00","materiał: Emalia; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-150","Viqtis 150 l","2800.00","3024.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-200","Viqtis 200 l","3200.00","3456.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-250","Viqtis 250 l","3600.00","3888.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-300","Viqtis 300 l","4100.00","4428.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-400","Viqtis 400 l","5200.00","5616.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","dobór systemu + wybór klienta","cwu-inox-500","Viqtis 500 l","6100.00","6588.00","materiał: AISI 316L; pozycja line item `CWU` dla pomp split"
"Zbiorniki CWU","Zbiornik CWU","wariant zerowy / brak","cwu-none","Brak zasobnika CWU","0.00","0.00","używane dla braku CWU lub AIO z wbudowanym zbiornikiem"
"Bufory CO","Bufor / sprzęgło","wariant zerowy / brak","buffer-0 / bufor-nie :: sprzeglo","Brak bufora (sprzęgło hydrauliczne)","0.00","0.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","wariant zerowy / brak","buffer-0 / bufor-nie :: na_powrocie","Brak bufora (na powrocie)","0.00","0.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-40 :: sprzeglo","Bufor 40L (sprzęgło hydrauliczne)","1250.00","1350.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-40 :: na_powrocie","Bufor 40L (na powrocie)","650.00","702.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-60 :: sprzeglo","Bufor 60L (sprzęgło hydrauliczne)","1250.00","1350.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-60 :: na_powrocie","Bufor 60L (na powrocie)","650.00","702.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-80 :: sprzeglo","Bufor 80L (sprzęgło hydrauliczne)","1300.00","1404.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-80 :: na_powrocie","Bufor 80L (na powrocie)","700.00","756.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-100 :: sprzeglo","Bufor 100L (sprzęgło hydrauliczne)","1750.00","1890.00","cena zależy od hydrauliki backendowej (`setupType`)"
"Bufory CO","Bufor / sprzęgło","dobór systemu + wybór klienta","buffer-100 :: na_powrocie","Bufor 100L (na powrocie)","1150.00","1242.00","cena zależy od hydrauliki backendowej (`setupType`)"
